AGEB_ID,Males,Females,0-14 years,15-64 years,65+ years,yes,no,Roman Catholics,Protestants,No religion,Population,Area,Density,Other religion
3105000015278,649,778,201,961,265,1212,14,1194,131,97,1427,0.25095km²,5686/km²,5
3105000011913,986,1105,277,1502,310,1790,24,1653,267,163,2091,0.44941km²,4653/km²,6
3105000844053,204,211,100,298,17,315,,328,51,35,415,0.17618km²,2356/km²,
3105000016115,1332,1366,600,1833,256,2061,37,2141,354,188,2698,0.44445km²,6070/km²,5
3105000014119,846,951,210,1135,451,1567,20,1496,112,169,1797,0.40041km²,4488/km²,10
3105000015140,1446,1598,594,2192,258,2425,25,2279,533,222,3044,0.36738km²,8286/km²,
3105000011631,1330,1333,542,1845,262,2061,60,1817,519,312,2663,0.34022km²,7827/km²,
3105000010756,1103,1247,417,1540,375,1877,56,1881,259,192,2350,0.52001km²,4519/km²,
3105000015244,403,446,98,547,202,731,20,723,41,80,849,0.22698km²,3740/km²,
3105000012470,808,923,277,1186,257,1433,21,1220,274,215,1731,0.52349km²,3307/km²,5
3105000756026,15,14,10,19,,19,,22,7,,29,0.024310km²,1193/km²,
3105000012818,1080,1174,466,1593,195,1751,37,1646,304,220,2254,0.31538km²,7147/km²,
3105000015418,1347,1482,539,2078,209,2290,,2287,208,295,2829,0.45716km²,6188/km²,8
3105000013981,878,972,387,1309,154,1442,21,1379,254,196,1850,0.41428km²,4466/km²,13
310500001637A,828,920,262,1082,404,1468,18,1450,196,95,1748,0.15961km²,10952/km²,
3105000015583,1533,1765,705,2332,261,2585,8,2611,289,366,3298,0.98830km²,3337/km²,17
3105000013214,799,786,334,1176,75,1208,43,1258,208,119,1585,0.28365km²,5588/km²,
3105000012998,1166,1250,447,1691,278,1919,50,1857,350,206,2416,0.38701km²,6243/km²,
3105000014227,558,639,149,879,169,1044,4,985,100,102,1197,0.15489km²,7728/km²,9
3105000015051,533,605,200,783,155,931,7,980,55,103,1138,0.46875km²,2428/km²,
3105000013939,1022,1234,253,1657,339,1995,8,1923,95,214,2256,0.68094km²,3313/km²,6
3105000012983,606,624,236,850,144,963,31,895,225,110,1230,0.24763km²,4967/km²,
3105000014208,1601,1604,663,2261,275,2453,89,2291,618,287,3205,0.44634km²,7181/km²,
310500001320A,735,763,376,1024,98,1077,45,1160,230,104,1498,0.17000km²,8812/km²,
3105000012432,750,922,164,1004,504,1501,7,1415,132,123,1672,0.32920km²,5079/km²,
3105000013144,1466,1465,573,1970,344,2242,116,2099,518,270,2931,0.37183km²,7883/km²,
3105000016492,1180,1233,519,1740,154,1849,45,1977,175,231,2413,0.67204km²,3591/km²,6
3105000016539,252,339,90,466,35,501,,492,24,65,591,0.33709km²,1753/km²,4
3105001116295,82,72,54,93,7,92,8,111,25,18,154,0.23197km²,663.9/km²,
3105000011665,584,615,270,828,89,905,24,940,169,78,1199,0.21778km²,5506/km²,
